S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2301,05/12/2020,Bihar,237006,5836,229883,1287
2302,06/12/2020,Bihar,237552,5630,230630,1292
2303,07/12/2020,Bihar,238106,5563,231248,1295
2304,08/12/2020,Bihar,238648,5467,231884,1297
2305,09/12/2020,Bihar,239322,5459,232563,1300
2306,10/12/2020,Bihar,239955,5354,233298,1303
2307,11/12/2020,Bihar,240572,5499,233766,1307
2308,12/12/2020,Bihar,241222,5527,234383,1312
2309,13/12/2020,Bihar,241776,5501,234958,1317
2310,14/12/2020,Bihar,242224,5375,235528,1321
2311,15/12/2020,Bihar,242660,5088,236247,1325
2312,17/12/2020,Bihar,243830,5231,237267,1332
2313,18/12/2020,Bihar,244386,5279,237770,1337
2314,19/12/2020,Bihar,245027,5370,238316,1341
2315,20/12/2020,Bihar,245661,5205,239109,1347
2316,21/12/2020,Bihar,246185,5140,239693,1352
2317,22/12/2020,Bihar,246568,4991,240219,1358
2318,23/12/2020,Bihar,247108,5030,240716,1362
2319,24/12/2020,Bihar,247807,5408,241031,1368
2320,25/12/2020,Bihar,248351,5434,241546,1371
2321,26/12/2020,Bihar,248945,5504,242068,1373
2322,27/12/2020,Bihar,249403,5257,242767,1379
2323,28/12/2020,Bihar,249912,5068,243461,1383
2324,29/12/2020,Bihar,250390,4928,244076,1386
2325,30/12/2020,Bihar,250928,4940,244599,1389
2326,31/12/2020,Bihar,251348,4799,245156,1393
2327,03/01/2021,Bihar,252584,4792,246389,1403
2328,04/01/2021,Bihar,252857,4473,246979,1405
2329,05/01/2021,Bihar,253272,4380,247484,1408
2330,06/01/2021,Bihar,253695,4351,247929,1415
2331,07/01/2021,Bihar,254014,4184,248410,1420
2332,08/01/2021,Bihar,254447,4261,248762,1424
2333,09/01/2021,Bihar,254701,4075,249198,1428
2334,10/01/2021,Bihar,255386,4247,249709,1430
2335,11/01/2021,Bihar,255700,4178,250088,1434
2336,12/01/2021,Bihar,255932,4054,250439,1439
2337,13/01/2021,Bihar,256309,4234,250632,1443
2338,14/01/2021,Bihar,256587,4115,251027,1445
2339,15/01/2021,Bihar,256895,4170,251278,1447
2340,16/01/2021,Bihar,257193,4112,251632,1449
2341,17/01/2021,Bihar,257474,4046,251975,1453
2342,18/01/2021,Bihar,257610,3822,252331,1457
2343,19/01/2021,Bihar,257775,3308,253007,1460
2344,20/01/2021,Bihar,257991,3241,253289,1461
2345,21/01/2021,Bihar,258176,3143,253569,1464
2346,22/01/2021,Bihar,258414,2923,254023,1468
2347,23/01/2021,Bihar,258513,2682,254359,1472
2348,24/01/2021,Bihar,258638,2599,254563,1476
2349,25/01/2021,Bihar,258787,2317,254991,1479
2350,27/01/2021,Bihar,258996,2336,255174,1486
2351,28/01/2021,Bihar,259149,1645,256014,1490
2352,29/01/2021,Bihar,259214,1043,256679,1492
2353,30/01/2021,Bihar,259373,1021,256857,1495
2354,31/01/2021,Bihar,259496,976,257021,1499
2355,01/02/2021,Bihar,259563,893,257169,1501
2356,02/02/2021,Bihar,259660,851,257306,1503
2357,03/02/2021,Bihar,259781,802,257474,1505
2358,04/02/2021,Bihar,259858,732,257618,1508
2359,05/02/2021,Bihar,259936,724,257702,1510
2360,06/02/2021,Bihar,260034,608,257914,1512
2361,07/02/2021,Bihar,260095,609,257971,1515
2362,08/02/2021,Bihar,260270,533,258221,1516
2363,09/02/2021,Bihar,260670,382,258771,1517
2364,10/02/2021,Bihar,261092,500,259074,1518
2365,11/02/2021,Bihar,261511,757,259234,1520
2366,12/02/2021,Bihar,261568,700,259347,1521
2367,13/02/2021,Bihar,261646,691,259433,1522
2368,14/02/2021,Bihar,261690,653,259513,1524
2369,15/02/2021,Bihar,261741,625,259591,1525
2370,16/02/2021,Bihar,261785,588,259670,1527
2371,17/02/2021,Bihar,261841,565,259748,1528
2372,18/02/2021,Bihar,261879,520,259830,1529
2373,19/02/2021,Bihar,261942,513,259898,1531
2374,20/02/2021,Bihar,262009,504,259973,1532
2375,21/02/2021,Bihar,262066,502,260030,1534
2376,22/02/2021,Bihar,262160,537,260088,1535
2377,23/02/2021,Bihar,262244,561,260147,1536
2378,24/02/2021,Bihar,262303,548,260218,1537
2379,25/02/2021,Bihar,262357,509,260310,1538
2380,26/02/2021,Bihar,262418,478,260401,1539
2381,27/02/2021,Bihar,262464,431,260493,1540
2382,01/03/2021,Bihar,262534,399,260594,1541
2383,02/03/2021,Bihar,262556,370,260645,1541
2384,03/03/2021,Bihar,262597,369,260687,1541
2385,04/03/2021,Bihar,262628,349,260737,1542
2386,06/03/2021,Bihar,262706,341,260821,1544
2387,07/03/2021,Bihar,262728,334,260849,1545
2388,08/03/2021,Bihar,262758,313,260899,1546
2389,09/03/2021,Bihar,262779,290,260942,1547
2390,10/03/2021,Bihar,262820,298,260975,1547
2391,11/03/2021,Bihar,262864,303,261013,1548
2392,13/03/2021,Bihar,262937,324,261064,1549
2393,14/03/2021,Bihar,262974,332,261092,1550
2394,15/03/2021,Bihar,263025,338,261136,1551
2395,16/03/2021,Bihar,263051,328,261171,1552
2396,17/03/2021,Bihar,263100,347,261200,1553
2397,18/03/2021,Bihar,263158,364,261240,1554
2398,19/03/2021,Bihar,263265,406,261304,1555
2399,20/03/2021,Bihar,263355,437,261362,1556
2400,21/03/2021,Bihar,263443,473,261413,1557
2401,22/03/2021,Bihar,263569,523,261487,1559
2402,23/03/2021,Bihar,263659,561,261537,1561
2403,24/03/2021,Bihar,263770,624,261583,1563
2404,25/03/2021,Bihar,263940,727,261648,1565
2405,27/03/2021,Bihar,264409,1001,261839,1569
2406,28/03/2021,Bihar,264604,1116,261917,1571
2407,29/03/2021,Bihar,264955,1347,262036,1572
2408,30/03/2021,Bihar,265194,1488,262133,1573
2409,31/03/2021,Bihar,265268,1456,262238,1574
2410,01/04/2021,Bihar,265527,1580,262371,1576
2411,02/04/2021,Bihar,266015,1908,262529,1578
2412,03/04/2021,Bihar,266677,2364,262733,1580
2413,04/04/2021,Bihar,267513,2943,262988,1582
2414,05/04/2021,Bihar,268377,3561,263233,1583
2415,06/04/2021,Bihar,269312,4144,263582,1586
2416,07/04/2021,Bihar,270392,4955,263849,1588
2417,08/04/2021,Bihar,271919,5926,264402,1591
2418,09/04/2021,Bihar,273830,7505,264730,1595
2419,10/04/2021,Bihar,276004,9358,265048,1598
2420,11/04/2021,Bihar,279473,11999,265870,1604
2421,12/04/2021,Bihar,283229,14696,266923,1610
2422,13/04/2021,Bihar,286228,17053,267559,1616
2423,14/04/2021,Bihar,290385,20149,268606,1630
2424,15/04/2021,Bihar,295171,23725,269795,1651
2425,16/04/2021,Bihar,301304,29079,270550,1675
2426,17/04/2021,Bihar,307557,33466,272403,1688
2427,18/04/2021,Bihar,315427,39498,274207,1722
2428,19/04/2021,Bihar,324117,44701,277667,1749
2429,20/04/2021,Bihar,331604,49528,280286,1790
2430,21/04/2021,Bihar,342059,56355,283863,1841
2431,22/04/2021,Bihar,354281,63747,288637,1897
2432,23/04/2021,Bihar,365770,69869,293945,1956
2433,24/04/2021,Bihar,378442,76420,300012,2010
2434,25/04/2021,Bihar,390801,81961,306753,2087
2435,26/04/2021,Bihar,403596,87155,314286,2155
2436,27/04/2021,Bihar,415397,89661,323514,2222
2437,28/04/2021,Bihar,428001,94276,331418,2307
2438,29/04/2021,Bihar,441375,98748,340236,2391
2439,30/04/2021,Bihar,454464,100822,351162,2480
2440,01/05/2021,Bihar,470317,105401,362356,2560
2441,02/05/2021,Bihar,484106,108203,373261,2642
2442,03/05/2021,Bihar,497640,109946,384955,2739
2443,04/05/2021,Bihar,509047,107668,398558,2821
2444,05/05/2021,Bihar,523841,110431,410484,2926
2445,06/05/2021,Bihar,538677,113480,422210,2987
2446,07/05/2021,Bihar,553803,115152,435574,3077
2447,08/05/2021,Bihar,567269,115067,449063,3139
2448,09/05/2021,Bihar,580217,112977,464025,3215
2449,10/05/2021,Bihar,591476,110805,477389,3282
2450,11/05/2021,Bihar,601650,105104,493189,3357
2451,12/05/2021,Bihar,612570,102100,507041,3429
2452,13/05/2021,Bihar,622433,99624,519306,3503
2453,19/03/2020,Chandigarh,1,1,0,0
2454,20/03/2020,Chandigarh,1,1,0,0
2455,21/03/2020,Chandigarh,1,1,0,0
2456,22/03/2020,Chandigarh,5,5,0,0
2457,23/03/2020,Chandigarh,6,6,0,0
2458,24/03/2020,Chandigarh,6,6,0,0
2459,25/03/2020,Chandigarh,7,7,0,0
2460,26/03/2020,Chandigarh,7,7,0,0
2461,27/03/2020,Chandigarh,7,7,0,0
2462,28/03/2020,Chandigarh,8,8,0,0
2463,29/03/2020,Chandigarh,8,8,0,0
2464,30/03/2020,Chandigarh,8,8,0,0
2465,31/03/2020,Chandigarh,13,13,0,0
2466,01/04/2020,Chandigarh,13,13,0,0
2467,02/04/2020,Chandigarh,16,16,0,0
2468,03/04/2020,Chandigarh,18,18,0,0
2469,04/04/2020,Chandigarh,18,18,0,0
2470,05/04/2020,Chandigarh,18,18,0,0
2471,06/04/2020,Chandigarh,18,18,0,0
2472,07/04/2020,Chandigarh,18,18,0,0
2473,08/04/2020,Chandigarh,18,11,7,0
2474,09/04/2020,Chandigarh,18,11,7,0
2475,10/04/2020,Chandigarh,18,11,7,0
2476,11/04/2020,Chandigarh,18,11,7,0
2477,12/04/2020,Chandigarh,19,12,7,0
2478,13/04/2020,Chandigarh,21,14,7,0
2479,14/04/2020,Chandigarh,21,14,7,0
2480,15/04/2020,Chandigarh,21,14,7,0
2481,16/04/2020,Chandigarh,21,14,7,0
2482,17/04/2020,Chandigarh,21,12,9,0
2483,18/04/2020,Chandigarh,21,12,9,0
2484,19/04/2020,Chandigarh,23,13,10,0
2485,20/04/2020,Chandigarh,26,13,13,0
2486,21/04/2020,Chandigarh,26,13,13,0
2487,22/04/2020,Chandigarh,27,13,14,0
2488,23/04/2020,Chandigarh,27,13,14,0
2489,24/04/2020,Chandigarh,27,13,14,0
2490,25/04/2020,Chandigarh,27,13,14,0
2491,26/04/2020,Chandigarh,28,13,15,0
2492,27/04/2020,Chandigarh,30,13,17,0
2493,28/04/2020,Chandigarh,40,23,17,0
2494,29/04/2020,Chandigarh,56,39,17,0
2495,30/04/2020,Chandigarh,56,39,17,0
2496,01/05/2020,Chandigarh,56,39,17,0
2497,02/05/2020,Chandigarh,88,71,17,0
2498,03/05/2020,Chandigarh,88,71,17,0
2499,04/05/2020,Chandigarh,94,75,19,0
2500,05/05/2020,Chandigarh,102,80,21,1
2501,06/05/2020,Chandigarh,111,89,21,1
2502,07/05/2020,Chandigarh,120,98,21,1
2503,08/05/2020,Chandigarh,135,113,21,1
2504,09/05/2020,Chandigarh,150,128,21,1
2505,10/05/2020,Chandigarh,169,143,24,2
2506,11/05/2020,Chandigarh,169,143,24,2
2507,12/05/2020,Chandigarh,174,148,24,2
2508,13/05/2020,Chandigarh,187,156,28,3
2509,14/05/2020,Chandigarh,187,156,28,3
2510,15/05/2020,Chandigarh,191,151,37,3
2511,16/05/2020,Chandigarh,191,151,37,3
2512,17/05/2020,Chandigarh,191,137,51,3
2513,18/05/2020,Chandigarh,191,137,51,3
2514,19/05/2020,Chandigarh,196,139,54,3
2515,20/05/2020,Chandigarh,200,140,57,3
2516,21/05/2020,Chandigarh,202,142,57,3
2517,22/05/2020,Chandigarh,217,75,139,3
2518,23/05/2020,Chandigarh,218,37,178,3
2519,24/05/2020,Chandigarh,225,43,179,3
2520,25/05/2020,Chandigarh,238,49,186,3
2521,26/05/2020,Chandigarh,238,49,186,3
2522,27/05/2020,Chandigarh,266,75,187,4
2523,28/05/2020,Chandigarh,279,88,187,4
2524,29/05/2020,Chandigarh,288,95,189,4
2525,30/05/2020,Chandigarh,289,96,189,4
2526,31/05/2020,Chandigarh,289,96,189,4
2527,01/06/2020,Chandigarh,293,90,199,4
2528,02/06/2020,Chandigarh,294,91,199,4
2529,03/06/2020,Chandigarh,301,82,214,5
2530,04/06/2020,Chandigarh,301,82,214,5
2531,05/06/2020,Chandigarh,301,82,214,5
2532,06/06/2020,Chandigarh,304,77,222,5
2533,07/06/2020,Chandigarh,309,31,273,5
2534,08/06/2020,Chandigarh,314,36,273,5
2535,09/06/2020,Chandigarh,317,39,273,5
2536,10/06/2020,Chandigarh,323,32,286,5
2537,11/06/2020,Chandigarh,327,36,286,5
2538,12/06/2020,Chandigarh,332,41,286,5
2539,13/06/2020,Chandigarh,334,43,286,5
2540,14/06/2020,Chandigarh,345,54,286,5
2541,15/06/2020,Chandigarh,352,54,293,5
2542,16/06/2020,Chandigarh,354,52,296,6
2543,17/06/2020,Chandigarh,358,50,302,6
2544,18/06/2020,Chandigarh,368,59,303,6
2545,19/06/2020,Chandigarh,374,62,306,6
2546,20/06/2020,Chandigarh,381,60,315,6
2547,21/06/2020,Chandigarh,404,82,316,6
2548,22/06/2020,Chandigarh,406,84,316,6
2549,23/06/2020,Chandigarh,411,83,322,6
2550,24/06/2020,Chandigarh,418,90,322,6
2551,25/06/2020,Chandigarh,420,91,323,6
2552,26/06/2020,Chandigarh,423,88,329,6
2553,27/06/2020,Chandigarh,425,84,335,6
2554,28/06/2020,Chandigarh,428,87,335,6
2555,29/06/2020,Chandigarh,429,87,336,6
2556,30/06/2020,Chandigarh,435,80,349,6
2557,01/07/2020,Chandigarh,440,70,364,6
2558,02/07/2020,Chandigarh,446,73,367,6
2559,03/07/2020,Chandigarh,450,55,389,6
2560,04/07/2020,Chandigarh,457,58,393,6
2561,05/07/2020,Chandigarh,460,59,395,6
2562,06/07/2020,Chandigarh,466,65,395,6
2563,07/07/2020,Chandigarh,489,82,401,6
2564,08/07/2020,Chandigarh,494,86,401,7
2565,09/07/2020,Chandigarh,513,104,402,7
2566,10/07/2020,Chandigarh,523,113,403,7
2567,11/07/2020,Chandigarh,539,124,408,7
2568,12/07/2020,Chandigarh,555,135,413,7
2569,13/07/2020,Chandigarh,559,134,417,8
2570,14/07/2020,Chandigarh,588,157,423,8
2571,15/07/2020,Chandigarh,600,144,446,10
2572,16/07/2020,Chandigarh,625,155,459,11
2573,17/07/2020,Chandigarh,651,164,476,11
2574,18/07/2020,Chandigarh,660,169,480,11
2575,19/07/2020,Chandigarh,700,203,485,12
2576,20/07/2020,Chandigarh,717,217,488,12
2577,21/07/2020,Chandigarh,737,207,518,12
2578,22/07/2020,Chandigarh,751,221,518,12
2579,23/07/2020,Chandigarh,793,254,526,13
2580,24/07/2020,Chandigarh,800,256,531,13
2581,25/07/2020,Chandigarh,823,275,535,13
2582,26/07/2020,Chandigarh,852,284,555,13
2583,27/07/2020,Chandigarh,887,302,572,13
2584,28/07/2020,Chandigarh,910,321,575,14
2585,29/07/2020,Chandigarh,934,321,599,14
2586,30/07/2020,Chandigarh,978,353,611,14
2587,31/07/2020,Chandigarh,1016,355,647,14
2588,01/08/2020,Chandigarh,1051,369,667,15
2589,02/08/2020,Chandigarh,1079,378,683,18
2590,03/08/2020,Chandigarh,1117,400,698,19
2591,04/08/2020,Chandigarh,1159,434,706,19
2592,05/08/2020,Chandigarh,1206,471,715,20
2593,06/08/2020,Chandigarh,1270,535,715,20
2594,07/08/2020,Chandigarh,1327,530,777,20
2595,08/08/2020,Chandigarh,1374,531,820,23
2596,09/08/2020,Chandigarh,1426,530,872,24
2597,10/08/2020,Chandigarh,1515,586,904,25
2598,11/08/2020,Chandigarh,1595,566,1004,25
2599,12/08/2020,Chandigarh,1670,629,1015,26
2600,13/08/2020,Chandigarh,1751,702,1023,26
2601,14/08/2020,Chandigarh,1842,739,1076,27
2602,15/08/2020,Chandigarh,1928,809,1091,28
2603,16/08/2020,Chandigarh,2009,863,1118,28
2604,17/08/2020,Chandigarh,2102,936,1137,29
2605,18/08/2020,Chandigarh,2216,1003,1183,30
2606,19/08/2020,Chandigarh,2305,1032,1243,30
2607,20/08/2020,Chandigarh,2396,1014,1351,31
2608,21/08/2020,Chandigarh,2515,1094,1390,31
2609,22/08/2020,Chandigarh,2631,1172,1426,33
2610,23/08/2020,Chandigarh,2776,1272,1471,33
2611,24/08/2020,Chandigarh,2918,1389,1492,37
2612,25/08/2020,Chandigarh,3035,1352,1646,37
2613,26/08/2020,Chandigarh,3209,1456,1713,40
2614,27/08/2020,Chandigarh,3376,1539,1796,41
2615,28/08/2020,Chandigarh,3564,1544,1977,43
2616,29/08/2020,Chandigarh,3724,1572,2107,45
2617,30/08/2020,Chandigarh,3985,1692,2248,45
2618,31/08/2020,Chandigarh,4155,1807,2296,52
2619,01/09/2020,Chandigarh,4346,1859,2431,56
2620,02/09/2020,Chandigarh,4550,1942,2551,57
2621,03/09/2020,Chandigarh,4789,2060,2670,59
2622,04/09/2020,Chandigarh,5065,2119,2883,63
2623,05/09/2020,Chandigarh,5268,2095,3105,68
2624,06/09/2020,Chandigarh,5502,2143,3290,69
2625,07/09/2020,Chandigarh,5763,2253,3439,71
2626,08/09/2020,Chandigarh,5995,2187,3734,74
2627,09/09/2020,Chandigarh,6372,2334,3960,78
2628,10/09/2020,Chandigarh,6704,2484,4140,80
2629,11/09/2020,Chandigarh,6987,2573,4331,83
2630,12/09/2020,Chandigarh,7292,2606,4600,86
2631,13/09/2020,Chandigarh,7542,2586,4864,92
2632,14/09/2020,Chandigarh,7991,2728,5170,93
2633,15/09/2020,Chandigarh,8245,2847,5300,98
2634,16/09/2020,Chandigarh,8592,2991,5502,99
2635,17/09/2020,Chandigarh,8958,3171,5683,104
2636,18/09/2020,Chandigarh,9256,3085,6062,109
2637,19/09/2020,Chandigarh,9506,2978,6415,113
2638,20/09/2020,Chandigarh,9796,2911,6766,119
2639,21/09/2020,Chandigarh,10082,2821,7138,123
2640,22/09/2020,Chandigarh,10298,2761,7411,126
2641,23/09/2020,Chandigarh,10546,2622,7794,130
2642,24/09/2020,Chandigarh,10726,2537,8049,140
2643,25/09/2020,Chandigarh,10968,2482,8342,144
2644,26/09/2020,Chandigarh,11212,2390,8677,145
2645,27/09/2020,Chandigarh,11380,2298,8937,145
2646,28/09/2020,Chandigarh,11553,2303,9103,147
2647,29/09/2020,Chandigarh,11678,2200,9325,153
2648,30/09/2020,Chandigarh,11816,2060,9598,158
2649,01/10/2020,Chandigarh,11938,1963,9813,162
2650,02/10/2020,Chandigarh,12057,1884,10009,164
2651,03/10/2020,Chandigarh,12212,1881,10162,169
2652,04/10/2020,Chandigarh,12360,1792,10396,172
2653,05/10/2020,Chandigarh,12445,1673,10598,174
2654,06/10/2020,Chandigarh,12578,1604,10797,177
2655,07/10/2020,Chandigarh,12707,1492,11035,180
2656,08/10/2020,Chandigarh,12820,1448,11190,182
2657,09/10/2020,Chandigarh,12922,1392,11344,186
2658,10/10/2020,Chandigarh,12985,1292,11505,188
2659,11/10/2020,Chandigarh,13081,1229,11662,190
2660,12/10/2020,Chandigarh,13162,1184,11787,191
2661,13/10/2020,Chandigarh,13260,1170,11898,192
2662,14/10/2020,Chandigarh,13331,1127,12007,197
2663,15/10/2020,Chandigarh,13403,1085,12119,199
2664,16/10/2020,Chandigarh,13477,1044,12232,201
2665,17/10/2020,Chandigarh,13532,974,12352,206
2666,18/10/2020,Chandigarh,13582,915,12460,207
2667,19/10/2020,Chandigarh,13646,884,12554,208
2668,20/10/2020,Chandigarh,13686,861,12617,208
2669,21/10/2020,Chandigarh,13743,810,12724,209
2670,22/10/2020,Chandigarh,13795,744,12842,209
2671,23/10/2020,Chandigarh,13848,712,12924,212
2672,24/10/2020,Chandigarh,13920,697,13009,214
2673,25/10/2020,Chandigarh,13977,674,13087,216
2674,26/10/2020,Chandigarh,14038,653,13167,218
2675,27/10/2020,Chandigarh,14085,633,13230,222
2676,28/10/2020,Chandigarh,14152,650,13279,223
2677,29/10/2020,Chandigarh,14212,629,13359,224
2678,30/10/2020,Chandigarh,14292,665,13402,225
2679,31/10/2020,Chandigarh,14351,657,13469,225
2680,01/11/2020,Chandigarh,14418,641,13551,226
2681,02/11/2020,Chandigarh,14476,618,13632,226
2682,03/11/2020,Chandigarh,14528,593,13708,227
2683,04/11/2020,Chandigarh,14608,629,13751,228
2684,05/11/2020,Chandigarh,14702,671,13802,229
2685,06/11/2020,Chandigarh,14794,703,13862,229
2686,07/11/2020,Chandigarh,14927,772,13925,230
2687,08/11/2020,Chandigarh,15025,815,13978,232
2688,09/11/2020,Chandigarh,15134,876,14024,234
2689,10/11/2020,Chandigarh,15249,902,14110,237
2690,11/11/2020,Chandigarh,15339,922,14176,241
2691,12/11/2020,Chandigarh,15434,958,14233,243
2692,13/11/2020,Chandigarh,15543,1002,14297,244
2693,14/11/2020,Chandigarh,15636,1009,14381,246
2694,15/11/2020,Chandigarh,15636,1009,14381,246
2695,16/11/2020,Chandigarh,15804,1088,14468,248
2696,17/11/2020,Chandigarh,15886,1052,14584,250
2697,18/11/2020,Chandigarh,16022,1026,14744,252
2698,19/11/2020,Chandigarh,16167,1081,14833,253
2699,20/11/2020,Chandigarh,16322,1105,14963,254
2700,21/11/2020,Chandigarh,16472,1121,15096,255
2701,22/11/2020,Chandigarh,16591,1135,15198,258
2702,23/11/2020,Chandigarh,16671,1094,15317,260
2703,24/11/2020,Chandigarh,16769,1117,15389,263
2704,25/11/2020,Chandigarh,16848,1128,15455,265
2705,26/11/2020,Chandigarh,16925,1127,15532,266
2706,27/11/2020,Chandigarh,17051,1169,15612,270
2707,28/11/2020,Chandigarh,17157,1190,15697,270
2708,29/11/2020,Chandigarh,17246,1115,15857,274
2709,30/11/2020,Chandigarh,17342,1140,15926,276
2710,01/12/2020,Chandigarh,17409,1062,16070,277
2711,02/12/2020,Chandigarh,17537,1086,16173,278
2712,03/12/2020,Chandigarh,17642,1082,16279,281
2713,04/12/2020,Chandigarh,17717,981,16452,284
2714,05/12/2020,Chandigarh,17828,928,16613,287
2715,06/12/2020,Chandigarh,17926,883,16754,289
2716,07/12/2020,Chandigarh,18027,922,16814,291
2717,08/12/2020,Chandigarh,18113,921,16899,293
2718,09/12/2020,Chandigarh,18239,962,16981,296
2719,10/12/2020,Chandigarh,18322,897,17128,297
2720,11/12/2020,Chandigarh,18410,881,17231,298
2721,12/12/2020,Chandigarh,18502,838,17365,299
2722,13/12/2020,Chandigarh,18572,815,17457,300
2723,14/12/2020,Chandigarh,18638,766,17571,301
2724,15/12/2020,Chandigarh,18714,714,17698,302
2725,17/12/2020,Chandigarh,18843,627,17912,304
2726,18/12/2020,Chandigarh,18905,584,18017,304
2727,19/12/2020,Chandigarh,18979,535,18139,305
2728,20/12/2020,Chandigarh,19044,494,18244,306
2729,21/12/2020,Chandigarh,19073,437,18328,308
2730,22/12/2020,Chandigarh,19128,389,18429,310
2731,23/12/2020,Chandigarh,19184,364,18508,312
2732,24/12/2020,Chandigarh,19266,369,18584,313
2733,25/12/2020,Chandigarh,19309,361,18634,314
2734,26/12/2020,Chandigarh,19345,345,18686,314
2735,27/12/2020,Chandigarh,19423,354,18754,315
2736,28/12/2020,Chandigarh,19486,361,18810,315
2737,29/12/2020,Chandigarh,19551,379,18856,316
2738,30/12/2020,Chandigarh,19615,362,18937,316
2739,31/12/2020,Chandigarh,19682,399,18967,316
2740,03/01/2021,Chandigarh,19865,320,19226,319
2741,04/01/2021,Chandigarh,19881,281,19280,320
2742,05/01/2021,Chandigarh,19936,267,19348,321
2743,06/01/2021,Chandigarh,20026,240,19464,322
2744,07/01/2021,Chandigarh,20104,256,19525,323
2745,08/01/2021,Chandigarh,20147,240,19582,325
2746,09/01/2021,Chandigarh,20201,238,19637,326
2747,10/01/2021,Chandigarh,20251,228,19696,327
2748,11/01/2021,Chandigarh,20295,241,19727,327
2749,12/01/2021,Chandigarh,20342,259,19756,327
2750,13/01/2021,Chandigarh,20378,270,19780,328
2751,14/01/2021,Chandigarh,20415,292,19794,329
2752,15/01/2021,Chandigarh,20438,273,19835,330
2753,16/01/2021,Chandigarh,20464,266,19868,330
2754,17/01/2021,Chandigarh,20503,238,19935,330
2755,18/01/2021,Chandigarh,20537,229,19978,330
2756,19/01/2021,Chandigarh,20564,203,20031,330
2757,20/01/2021,Chandigarh,20595,185,20080,330
2758,21/01/2021,Chandigarh,20623,171,20122,330
2759,22/01/2021,Chandigarh,20639,146,20162,331
2760,23/01/2021,Chandigarh,20664,137,20195,332
2761,24/01/2021,Chandigarh,20686,127,20226,333
2762,25/01/2021,Chandigarh,20718,136,20248,334
2763,27/01/2021,Chandigarh,20775,139,20302,334
2764,28/01/2021,Chandigarh,20819,146,20339,334
2765,29/01/2021,Chandigarh,20855,158,20363,334
2766,30/01/2021,Chandigarh,20882,159,20389,334
2767,31/01/2021,Chandigarh,20899,151,20414,334
2768,01/02/2021,Chandigarh,20925,165,20426,334
2769,02/02/2021,Chandigarh,20957,176,20447,334
2770,03/02/2021,Chandigarh,20979,182,20462,335
2771,04/02/2021,Chandigarh,21015,186,20493,336
2772,05/02/2021,Chandigarh,21036,187,20512,337
2773,06/02/2021,Chandigarh,21060,187,20535,338
2774,07/02/2021,Chandigarh,21088,184,20565,339
2775,08/02/2021,Chandigarh,21107,169,20598,340
2776,09/02/2021,Chandigarh,21133,169,20623,341
2777,10/02/2021,Chandigarh,21154,168,20644,342
2778,11/02/2021,Chandigarh,21171,158,20670,343
2779,12/02/2021,Chandigarh,21184,140,20700,344
2780,13/02/2021,Chandigarh,21203,142,20717,344
2781,14/02/2021,Chandigarh,21220,123,20752,345
2782,15/02/2021,Chandigarh,21238,127,20765,346
2783,16/02/2021,Chandigarh,21264,129,20789,346
2784,17/02/2021,Chandigarh,21293,133,20813,347
2785,18/02/2021,Chandigarh,21322,142,20832,348
2786,19/02/2021,Chandigarh,21352,150,20854,348
2787,20/02/2021,Chandigarh,21371,156,20867,348
2788,21/02/2021,Chandigarh,21397,169,20879,349
2789,22/02/2021,Chandigarh,21425,186,20890,349
2790,23/02/2021,Chandigarh,21463,205,20908,350
2791,24/02/2021,Chandigarh,21500,227,20923,350
2792,25/02/2021,Chandigarh,21541,250,20940,351
2793,26/02/2021,Chandigarh,21590,279,20960,351
2794,27/02/2021,Chandigarh,21659,322,20986,351
2795,01/03/2021,Chandigarh,21770,381,21037,352
2796,02/03/2021,Chandigarh,21839,430,21056,353
2797,03/03/2021,Chandigarh,21906,472,21080,354
2798,04/03/2021,Chandigarh,21962,503,21104,355
2799,06/03/2021,Chandigarh,22116,587,21174,355
2800,07/03/2021,Chandigarh,22238,675,21208,355
2801,08/03/2021,Chandigarh,22318,710,21253,355
2802,09/03/2021,Chandigarh,22397,725,21316,356
2803,10/03/2021,Chandigarh,22502,778,21368,356
2804,11/03/2021,Chandigarh,22589,816,21416,357
2805,13/03/2021,Chandigarh,22832,936,21539,357
2806,14/03/2021,Chandigarh,22976,1032,21586,358
2807,15/03/2021,Chandigarh,23096,1088,21650,358
2808,16/03/2021,Chandigarh,23244,1166,21720,358
2809,17/03/2021,Chandigarh,23391,1199,21833,359
2810,18/03/2021,Chandigarh,23592,1330,21903,359
2811,19/03/2021,Chandigarh,23803,1466,21978,359
2812,20/03/2021,Chandigarh,24017,1597,22060,360
2813,21/03/2021,Chandigarh,24220,1717,22142,361
2814,22/03/2021,Chandigarh,24459,1872,22225,362
2815,23/03/2021,Chandigarh,24667,1979,22325,363
2816,24/03/2021,Chandigarh,24881,2066,22451,364
2817,25/03/2021,Chandigarh,25130,2178,22587,365
2818,27/03/2021,Chandigarh,25604,2392,22840,372
2819,28/03/2021,Chandigarh,25898,2532,22992,374
2820,29/03/2021,Chandigarh,26194,2633,23184,377
2821,30/03/2021,Chandigarh,26468,2746,23345,377
2822,31/03/2021,Chandigarh,26733,2831,23523,379
2823,01/04/2021,Chandigarh,26999,2918,23702,379
2824,02/04/2021,Chandigarh,27256,2951,23925,380
2825,03/04/2021,Chandigarh,27543,3098,24064,381
